CVE-2017-14474;2018-05-09
CVE-2018-9109;2018-03-28
CVE-2018-10487;2018-05-17
CVE-2017-17055;2017-12-07
CVE-2003-1259;2003-12-31
CVE-2018-1000025;2018-02-09
CVE-2018-11202;2018-05-16
CVE-2017-16877;2017-11-17
CVE-2017-1000473;2018-01-03
CVE-2018-11013;2018-05-13
CVE-2018-11117;2018-05-17
CVE-2018-10476;2018-05-17
CVE-2005-4373;2005-12-20
CVE-2018-10021;2018-04-11
CVE-2018-0283;2018-05-02
CVE-2017-12126;2018-05-14
CVE-2017-10896;2017-12-08
CVE-2013-5391;2018-04-27
CVE-2017-11308;2018-05-19
CVE-2005-4286;2005-12-16
CVE-2017-9278;2018-03-02
CVE-2013-4035;2018-05-01
CVE-2017-17256;2018-04-24
CVE-2018-8781;2018-04-23
CVE-2018-9958;2018-05-17
CVE-2018-9983;2018-05-17
CVE-2017-6201;2018-02-06
CVE-2009-5151;2018-05-11
CVE-2017-12109;2018-04-24
CVE-2018-7436;2018-02-23
CVE-2018-3842;2018-04-19
CVE-2018-10546;2018-04-29
CVE-2014-4919;2018-01-19
CVE-2017-2694;2017-11-22
CVE-2017-2837;2018-04-24
CVE-2018-1005;2018-04-12
CVE-2018-10371;2018-05-01
CVE-2018-8061;2018-05-10
CVE-2018-6462;2018-01-31
CVE-2005-2584;2005-08-16
CVE-2017-15945;2017-10-27
CVE-2016-8365;2018-04-03
CVE-1999-0361;1999-01-01
CVE-2018-10527;2018-04-28
CVE-2003-1317;2003-12-31
CVE-2004-1519;2004-12-31
CVE-2004-1074;2005-01-10
CVE-2018-0986;2018-04-04
CVE-2018-1445;2018-04-17
CVE-2018-9977;2018-05-17
CVE-2004-2041;2004-05-29
CVE-2018-10199;2018-04-18
CVE-2018-1028;2018-04-12
CVE-2005-4280;2005-12-16
CVE-2017-14962;2017-12-20
CVE-2003-1230;2003-12-31
CVE-2018-10473;2018-05-17
CVE-2004-0978;2005-02-09
CVE-2004-0005;2004-03-03
CVE-2018-11254;2018-05-18
CVE-2018-1276;2018-05-17
CVE-2018-0021;2018-04-11
CVE-2018-10365;2018-05-01
CVE-2018-1000179;2018-05-08
CVE-2018-6020;2018-05-09
CVE-1999-0106;1997-03-01
CVE-2018-10534;2018-04-29
CVE-2018-10027;2018-05-17
CVE-2018-1307;2018-02-09
CVE-2018-10167;2018-05-03
CVE-2017-1721;2018-04-26
CVE-2005-4354;2005-12-20
CVE-2004-2301;2004-12-31
CVE-1999-0586;1999-01-01
CVE-2018-10233;2018-04-23
CVE-2018-10138;2018-04-16
CVE-2018-1289;2018-04-20
CVE-1999-0514;1998-03-01
CVE-2005-4615;2005-12-31
CVE-2017-8944;2018-02-15
CVE-2017-2610;2018-05-15
CVE-2017-8208;2017-11-22
CVE-2018-1173;2018-05-17
CVE-2015-7669;2017-12-27
CVE-2005-4193;2005-12-13
CVE-2005-1304;2005-05-02
CVE-2018-4836;2018-01-25
CVE-2017-2699;2017-11-22
CVE-2018-8845;2018-05-15
CVE-2004-0704;2004-07-27
CVE-2018-8123;2018-05-09
CVE-2017-8974;2018-02-15
CVE-2017-9966;2018-01-02
CVE-2018-5790;2018-02-05
CVE-2017-16521;2017-11-10
CVE-2018-0260;2018-04-19
CVE-2017-14178;2018-02-02
CVE-1999-0561;1999-01-01
CVE-2018-4938;2018-05-19
CVE-2018-9110;2018-03-28
CVE-2004-2010;2004-12-31
CVE-2018-8161;2018-05-09
CVE-2013-6739;2018-04-27
CVE-2003-1121;2003-12-31
CVE-2018-5827;2018-05-17
CVE-2018-10758;2018-05-05
CVE-2018-1227;2018-03-13
CVE-2018-10120;2018-04-16
CVE-2018-0226;2018-05-02
CVE-2018-9938;2018-05-17
CVE-2018-11236;2018-05-18
CVE-2017-13254;2018-04-04
CVE-2005-4035;2005-12-06
CVE-2005-0455;2005-05-02
CVE-2017-10873;2017-11-02
CVE-2018-11094;2018-05-15
CVE-2018-1371;2018-04-17
CVE-2018-7230;2018-03-09
CVE-2004-2614;2004-12-31
CVE-2018-1464;2018-05-17
CVE-2018-11224;2018-05-17
CVE-2018-5254;2018-04-12
CVE-2018-10780;2018-05-07
CVE-2018-9943;2018-05-17
CVE-2005-3140;2005-10-05
CVE-2018-5511;2018-04-13
CVE-2017-1750;2018-04-25
CVE-2003-1212;2003-12-31
CVE-2018-0229;2018-04-19
CVE-2018-10798;2018-05-08
CVE-2018-10968;2018-05-18
CVE-2018-5791;2018-02-05
CVE-2018-9944;2018-05-17
CVE-2018-10323;2018-04-24
CVE-2018-9104;2018-04-25
CVE-2005-4017;2005-12-05
CVE-2017-1764;2018-04-23
CVE-2018-10729;2018-05-17
CVE-2013-0159;2018-05-01
CVE-2003-1211;2003-12-31
CVE-2018-2420;2018-05-09
CVE-2018-10250;2018-04-20
CVE-2017-15530;2017-12-13
CVE-2018-1237;2018-03-27
CVE-2018-11315;2018-05-20
