beckhoff;5;4
zh_baidumap_project;1;1
fantastic_scripts;1;1
exiv2;64;1
slsknet;1;1
q-cms;12;1
securecomputing;17;12
simple-php-captcha_project;1;1
digital_scribe;1;1
wikiwiki_project;1;1
simple_machines;45;6
bpowerhouse;8;7
rob_sutton;2;1
dave_robinson;1;1
motorola;32;30
gfcoin;2;1
dthdevelopment;1;1
php_invoice;2;1
py_software;6;2
bvrp_software;3;1
realvnc;5;2
eduha_meeting;1;1
barcodewiz;3;1
tilde_cms_project;4;1
snilesh;1;1
amos_benari;1;1
freedville;3;3
gardener;1;1
python_software_foundation;23;2
entrypass;2;1
dallas_semiconductor;1;1
wago;10;25
tmsnc;2;1
ninjadesigns;4;3
wuzhicms;21;1
postnuke_software_foundation;53;8
aeries;6;2
ethereumblack_project;2;1
linecontrol;1;1
dynu_systems_inc.;1;1
xiongmai_technologies;1;1
simple_os_cms;1;1
emsisoft;19;1
perception;8;2
pydio;7;1
gamelikeapps;1;1
developer_log_project;1;1
convex;1;2
usanet_creations;2;6
logisense;1;2
sysstat;5;1
ircd-hybrid;3;1
docebo;15;2
hex-rays;7;1
semaintoken_project;1;1
mongodb;14;3
my_little_homepage;16;3
hylafax;11;2
texas_imperial_software;21;4
limbo_cms;13;3
3dftp;3;2
p3scan_project;1;1
slashcode.com;3;1
avg;24;9
akirapowered;1;1
potrace_project;14;1
easy_software_products;50;1
nocc;6;1
watchguard;34;16
merak;25;3
prevx;7;4
softnews_media_group;3;1
modlogan;2;1
cesanta;14;3
national_instruments;2;2
tomaz-muraus;3;1
courseforum;3;1
canon;20;42
phpmytourney;2;1
heikki_ylinen;1;1
winftp_server;3;1
universal_ircd;9;1
eclinicalworks;8;2
arabia2000;1;1
libimobiledevice;8;3
jex-treme;1;1
ez;21;2
mediahouse_software;3;2
gallery_project;32;1
forkosh;5;2
coxco_support;2;8
ilearnwith;6;6
winny;4;1
xovis;3;6
uni-vert;3;1
cobham;10;18
mesa3d;2;1
wonderware;3;2
trivum;5;4
znc;11;2
phpwcms;8;1
valve_software;16;7
brian_wotring;1;1
flatnuke;25;2
internet_key_exchange;9;3
zen-cart;39;2
people_can_fly;2;1
alberto_trujillo_gonzalez;1;1
sql-ledger;20;1
advanced_guestbook;10;1
barnraiser;3;2
dev!l's;2;2
nippon-antenna;4;1
icecast;37;7
acronis;6;4
emailarchitect;3;2
bookingcentre;5;1
skyarc;3;6
cyan_soft;2;6
zte;45;48
pps.jussieu;3;1
pixar;3;2
carrierenterprise;1;1
escanav;5;3
libreoffice;26;1
thecartpress;5;2
jquery;9;2
gparted;1;1
indasengineering;1;1
linuxfoundation;15;3
personify;3;1
steve_poulsen;8;1
ariadne;4;1
phpxplorer;3;1
