labels,low,medium,high,total
579,1,0,0,1
581,3,0,0,3
582,0,1,0,1
583,0,0,3,3
584,0,1,0,1
585,0,1,1,2
587,0,2,3,5
588,0,2,1,3
589,0,2,1,3
590,0,3,1,4
591,0,1,0,1
592,0,3,1,4
594,0,2,0,2
595,0,1,0,1
596,0,3,1,4
597,0,3,0,3
598,0,1,0,1
599,0,0,3,3
600,2,6,0,8
602,0,1,1,2
603,2,0,0,2
604,0,2,0,2
605,0,1,0,1
606,0,1,2,3
607,0,2,0,2
608,0,2,0,2
609,0,2,2,4
610,0,0,1,1
611,0,6,1,7
612,0,1,2,3
613,0,11,3,14
614,0,3,1,4
615,2,1,1,4
616,0,1,0,1
618,0,1,0,1
619,0,0,1,1
620,1,3,0,4
621,0,1,0,1
622,0,4,0,4
623,1,1,1,3
624,0,0,3,3
625,0,1,2,3
626,0,3,3,6
627,0,1,1,2
628,0,1,0,1
629,2,4,0,6
630,0,1,0,1
631,0,1,0,1
632,0,0,1,1
635,0,3,0,3
637,0,2,0,2
638,2,0,0,2
639,0,1,2,3
640,0,2,1,3
641,2,1,1,4
642,0,1,0,1
643,0,2,0,2
644,0,5,3,8
645,0,1,0,1
646,0,1,0,1
647,0,5,1,6
648,0,5,0,5
649,0,4,1,5
650,0,3,0,3
651,0,4,1,5
652,0,1,1,2
653,0,2,3,5
654,0,1,2,3
655,0,2,0,2
656,0,9,4,13
659,0,1,0,1
660,0,2,0,2
661,0,1,0,1
662,0,2,1,3
663,0,2,0,2
664,0,3,0,3
665,0,1,0,1
666,1,4,0,5
667,1,0,0,1
668,0,2,1,3
669,0,0,1,1
671,0,0,3,3
672,0,1,1,2
673,0,2,0,2
674,0,1,0,1
677,0,1,0,1
678,0,2,0,2
679,0,2,1,3
680,0,3,0,3
681,0,5,0,5
682,0,1,0,1
684,1,3,0,4
685,4,1,1,6
686,1,3,1,5
687,3,3,0,6
689,0,1,1,2
690,1,21,2,24
691,1,1,0,2
692,0,6,1,7
693,0,1,1,2
694,0,3,0,3
695,0,1,0,1
696,1,0,0,1
697,0,3,0,3
698,0,2,0,2
699,0,1,0,1
700,1,0,2,3
701,0,1,0,1
702,0,1,1,2
703,0,3,1,4
704,0,1,1,2
705,2,5,1,8
706,0,2,0,2
707,0,2,1,3
708,0,0,1,1
709,1,1,0,2
711,0,2,0,2
712,0,0,2,2
714,0,3,0,3
715,0,4,0,4
716,0,0,1,1
717,0,1,0,1
718,0,1,2,3
719,1,5,2,8
720,0,1,1,2
721,2,1,0,3
723,0,3,0,3
724,0,6,4,10
726,0,4,2,6
727,0,4,0,4
728,0,3,1,4
729,0,2,0,2
730,0,0,1,1
731,0,2,0,2
732,0,2,1,3
733,0,2,1,3
734,0,0,2,2
735,1,8,0,9
736,0,3,2,5
737,1,0,0,1
738,0,4,0,4
739,0,3,0,3
741,0,2,2,4
742,0,3,2,5
744,0,0,1,1
745,0,1,0,1
746,0,2,1,3
747,0,0,1,1
748,1,1,1,3
750,0,0,1,1
751,0,3,0,3
752,0,2,0,2
753,0,5,0,5
754,0,1,1,2
755,2,3,3,8
756,0,1,0,1
757,0,4,0,4
758,0,0,1,1
759,0,2,0,2
760,0,1,0,1
761,0,3,1,4
762,0,1,2,3
763,0,1,0,1
764,0,1,0,1
765,0,1,1,2
766,0,2,0,2
768,0,1,0,1
769,2,1,1,4
770,0,10,4,14
771,0,2,1,3
772,0,2,1,3
773,0,1,1,2
775,0,1,1,2
776,0,2,0,2
777,0,0,1,1
778,1,5,1,7
779,0,0,1,1
780,1,3,1,5
781,0,0,1,1
782,1,2,0,3
783,0,1,0,1
784,1,0,0,1
785,3,2,0,5
786,0,2,0,2
787,0,0,4,4
788,1,4,0,5
789,0,2,0,2
790,0,2,1,3
792,0,2,1,3
793,0,2,2,4
794,0,2,1,3
795,0,2,0,2
796,0,1,1,2
797,1,3,1,5
798,0,0,1,1
799,1,1,0,2
800,0,1,1,2
801,2,2,0,4
802,0,1,0,1
803,0,3,1,4
804,0,0,1,1
805,1,2,0,3
807,1,1,1,3
808,1,3,0,4
809,1,0,1,2
810,0,0,1,1
811,0,2,0,2
812,4,2,4,10
813,1,2,1,4
814,1,3,0,4
815,0,1,2,3
816,0,3,2,5
817,0,1,1,2
818,0,2,0,2
819,0,10,0,10
820,0,6,4,10
821,0,1,0,1
822,0,1,0,1
823,0,0,1,1
824,1,4,1,6
825,1,0,2,3
827,1,24,2,27
830,0,2,3,5
831,1,1,0,2
832,0,1,0,1
833,0,3,0,3
834,0,4,0,4
835,0,1,0,1
836,1,1,0,2
839,0,0,1,1
840,0,2,3,5
841,0,2,2,4
842,1,0,0,1
843,0,35,0,35
845,0,1,0,1
847,0,3,0,3
848,2,2,2,6
849,0,0,1,1
851,0,1,1,2
853,0,2,1,3
854,2,1,0,3
856,0,0,1,1
857,0,1,1,2
858,0,0,1,1
859,0,3,0,3
860,0,6,1,7
861,0,4,1,5
862,2,1,1,4
864,0,3,2,5
866,2,3,1,6
867,0,1,0,1
868,0,1,0,1
869,1,0,0,1
870,0,0,1,1
871,0,2,0,2
872,0,0,1,1
873,0,1,0,1
874,0,2,0,2
875,0,1,0,1
876,0,3,2,5
877,0,3,4,7
878,0,1,0,1
879,0,2,1,3
880,0,0,1,1
881,0,1,0,1
883,1,0,2,3
884,1,1,0,2
885,0,1,0,1
886,1,2,0,3
887,0,2,0,2
888,0,1,0,1
889,1,0,0,1
890,0,3,2,5
891,1,1,0,2
892,0,0,1,1
893,0,1,1,2
894,0,1,1,2
895,0,2,0,2
896,0,4,3,7
897,0,1,1,2
899,0,1,0,1
900,0,1,1,2
901,0,1,0,1
902,0,2,0,2
903,1,0,0,1
904,0,1,1,2
906,0,4,1,5
910,0,2,2,4
911,1,0,0,1
913,0,1,0,1
914,0,4,0,4
915,0,6,1,7
916,0,1,1,2
917,0,2,3,5
918,0,1,0,1
919,0,2,0,2
921,4,4,0,8
922,0,1,0,1
923,0,2,1,3
924,0,1,0,1
927,0,4,1,5
928,0,3,0,3
929,0,1,0,1
930,1,1,0,2
931,1,3,1,5
932,0,1,0,1
933,0,2,0,2
934,0,0,1,1
935,0,1,1,2
936,0,1,0,1
937,0,1,0,1
938,0,2,0,2
940,0,0,3,3
941,0,6,5,11
942,0,3,0,3
943,1,3,1,5
944,0,1,0,1
945,0,3,0,3
946,0,0,2,2
948,0,1,1,2
949,0,2,2,4
950,0,1,0,1
951,0,3,5,8
952,6,3,2,11
953,1,3,0,4
954,0,2,1,3
955,0,1,0,1
956,0,2,0,2
957,0,2,0,2
959,0,2,0,2
960,0,2,0,2
962,0,1,0,1
963,0,2,1,3
964,0,0,2,2
965,1,0,0,1
966,0,1,1,2
967,0,3,3,6
968,0,5,1,6
969,0,1,0,1
971,0,1,0,1
973,0,0,1,1
974,0,1,0,1
976,0,1,0,1
977,0,1,1,2
978,1,3,0,4
979,0,1,0,1
981,0,0,1,1
993,0,1,1,2
994,0,2,0,2
995,0,0,2,2
996,0,1,2,3
998,0,0,1,1
999,0,1,0,1
1000,0,2,0,2
1002,0,0,1,1
1006,0,0,1,1
1008,0,1,0,1
1009,0,1,0,1
1010,0,0,1,1
1015,0,1,0,1
1018,0,0,1,1
1020,0,0,0,0
1024,1,0,0,1
1025,0,1,0,1
1027,0,1,0,1
1028,0,2,1,3
1032,0,2,0,2
1033,0,1,0,1
1034,0,0,1,1
1035,0,1,0,1
1036,0,2,0,2
1038,0,0,1,1
1041,0,1,1,2
1044,2,1,0,3
1048,0,3,0,3
1050,0,0,1,1
1064,0,0,1,1
1065,0,2,0,2
1069,0,1,0,1
1073,0,2,0,2
1074,0,2,0,2
1078,1,0,0,1
1079,0,1,0,1
1081,0,1,0,1
1082,0,0,1,1
1087,0,1,0,1
1090,0,0,1,1
1091,0,1,2,3
1093,1,2,0,3
1094,0,0,1,1
1096,0,1,0,1
1100,0,0,2,2
1106,0,0,1,1
1108,0,1,0,1
1109,0,0,1,1
1111,0,0,1,1
1112,0,3,0,3
1113,0,1,0,1
1116,0,1,0,1
1117,0,1,0,1
1120,0,1,0,1
1121,0,0,1,1
1122,0,0,1,1
1125,0,3,0,3
1127,0,0,1,1
1130,0,0,1,1
1132,1,0,1,2
1133,0,1,0,1
1135,0,1,0,1
1143,0,2,1,3
1145,0,0,1,1
1147,0,1,0,1
1148,0,0,1,1
1150,1,0,0,1
1154,0,0,1,1
1157,0,1,0,1
1159,0,1,0,1
1161,0,1,1,2
1163,0,1,1,2
1164,0,1,0,1
1168,0,1,0,1
1169,0,1,0,1
1172,0,1,0,1
1173,1,0,0,1
1181,0,3,0,3
1185,0,0,1,1
1188,1,0,0,1
1190,0,1,0,1
1194,0,5,1,6
1195,0,1,0,1
1196,0,1,0,1
1197,0,2,0,2
1198,2,0,0,2
1205,0,2,0,2
1211,0,1,0,1
1212,0,1,0,1
1215,0,3,1,4
1217,0,1,0,1
1220,0,0,1,1
1224,1,0,0,1
1226,0,0,1,1
1227,0,0,1,1
1228,1,0,0,1
1232,0,1,0,1
1233,0,1,0,1
1234,0,0,1,1
1237,0,2,0,2
1238,0,1,0,1
1239,0,1,1,2
1240,2,0,0,2
1249,0,0,1,1
1254,0,1,0,1
1259,1,1,1,3
1263,1,0,0,1
1264,0,0,1,1
1267,0,1,0,1
1273,13,0,0,13
1275,0,2,0,2
1279,0,1,0,1
1281,0,1,0,1
1283,0,1,0,1
1286,1,0,0,1
1289,1,0,0,1
1294,0,1,0,1
1295,0,0,1,1
1297,0,0,1,1
1299,2,1,0,3
1300,0,2,0,2
1301,0,1,2,3
1303,1,1,0,2
1304,0,1,0,1
1307,0,1,0,1
1310,0,1,0,1
1317,0,0,1,1
1318,0,1,0,1
1319,1,0,0,1
1321,0,1,0,1
1323,0,0,1,1
1325,0,0,2,2
1327,0,1,1,2
1329,0,1,0,1
1333,0,1,0,1
1336,0,1,0,1
1337,0,0,2,2
1340,0,0,1,1
1345,0,0,1,1
1346,0,1,0,1
1350,0,2,0,2
1355,0,2,0,2
1356,0,1,0,1
1357,0,2,0,2
1358,0,1,0,1
1362,0,1,0,1
1369,0,1,0,1
1371,0,0,1,1
1374,0,0,1,1
1377,2,0,1,3
1379,0,1,0,1
1382,0,1,0,1
1383,0,1,0,1
1385,0,0,1,1
1391,0,1,0,1
1393,0,0,1,1
1395,0,1,1,2
1398,0,0,0,0
1400,0,0,1,1
1404,0,0,2,2
1407,0,1,0,1
1418,0,1,0,1
1421,0,1,0,1
1422,1,0,0,1
1432,2,0,0,2
1433,2,0,0,2
1440,0,2,1,3
1446,1,0,0,1
1463,1,1,0,2
1465,0,1,0,1
1470,0,1,0,1
1479,0,1,0,1
1480,0,1,0,1
1492,0,3,0,3
1496,0,2,0,2
1499,0,0,0,0
1502,0,1,0,1
1504,1,0,0,1
1509,0,0,1,1
1511,0,0,1,1
1514,0,1,0,1
1517,0,1,0,1
1521,0,0,1,1
1527,0,1,0,1
1539,0,0,1,1
1549,0,0,0,0
1553,0,3,0,3
