CWE-295;258;6;84;165;3
CWE-74;157;30;98;28;1
CWE-118;11;8;1;2;0
CWE-275;75;4;31;34;6
CWE-129;44;7;33;4;0
CWE-682;9;2;4;3;0
CWE-532;72;16;21;30;5
CWE-284,CWE-200;19;2;8;6;3
CWE-190,CWE-416;4;0;4;0;0
CWE-400;263;3;142;118;0
CWE-918;121;29;56;35;1
CWE-331;13;2;8;3;0
CWE-502;163;102;55;5;0
CWE-79,CWE-20;1;0;0;1;0
CWE-285;67;7;32;28;0
CWE-200,CWE-285;2;0;2;0;0
CWE-200,CWE-255;15;2;7;6;0
CWE-269,CWE-264;8;1;6;1;0
CWE-639,CWE-275;1;0;0;1;0
CWE-295,CWE-200;1;0;0;1;0
CWE-275,CWE-352;1;0;1;0;0
CWE-769,CWE-774;5;0;4;1;0
CWE-613;18;2;7;9;0
CWE-320;50;12;22;16;0
CWE-417;25;5;8;10;2
CWE-787;392;88;259;45;0
CWE-21;3;1;2;0;0
CWE-91;15;1;12;2;0
CWE-346;12;3;6;3;0
CWE-428;34;0;30;4;0
CWE-326;63;11;28;23;1
CWE-345;45;5;22;17;1
CWE-347;43;4;18;20;1
CWE-119,CWE-122;6;3;3;0;0
CWE-306;43;25;16;2;0
CWE-330;28;6;15;7;0
CWE-362,CWE-415;5;0;5;0;0
CWE-125,CWE-200;39;0;8;30;1
CWE-123;10;1;7;2;0
CWE-200,CWE-416;3;0;2;1;0
CWE-361;12;3;6;2;1
CWE-119,CWE-190;19;8;11;0;0
CWE-362,CWE-416;32;0;31;1;0
CWE-119,CWE-362;18;1;15;2;0
CWE-327;31;7;8;16;0
CWE-502,CWE-416;1;0;1;0;0
CWE-611,CWE-200;4;0;3;1;0
CWE-407;5;0;4;1;0
CWE-532,CWE-534;4;1;1;2;0
CWE-125,CWE-787;21;1;14;6;0
CWE-119,CWE-762;4;0;4;0;0
CWE-338;22;3;16;3;0
CWE-261;1;0;0;0;0
CWE-640;37;11;21;4;1
CWE-200,CWE-20;15;1;6;8;0
CWE-22,CWE-20;9;3;3;3;0
CWE-119,CWE-400;1;0;1;0;0
CWE-358;17;3;8;6;0
CWE-113;30;0;10;19;0
CWE-20,CWE-426;2;0;0;2;0
CWE-427;36;1;31;4;0
CWE-287,CWE-254;4;0;2;2;0
CWE-276,CWE-275;2;0;2;0;0
CWE-266,CWE-264;1;0;1;0;0
CWE-732,CWE-264;1;0;1;0;0
CWE-476,CWE-822;8;0;8;0;0
CWE-200,CWE-260;2;0;1;0;1
CWE-798,CWE-547,CWE-798;29;17;10;2;0
CWE-798,CWE-259,CWE-547;1;0;1;0;0
CWE-943,CWE-138;2;1;1;0;0
CWE-119,CWE-787;14;7;6;1;0
CWE-787,CWE-416;3;2;1;0;0
CWE-200,CWE-787;1;0;1;0;0
CWE-200,CWE-362;6;0;1;4;1
CWE-191;35;11;13;11;0
CWE-371,CWE-200;1;0;1;0;0
CWE-22,CWE-434;5;2;3;0;0
CWE-22,CWE-23;1;0;1;0;0
CWE-255,CWE-522;3;2;1;0;0
CWE-78,CWE-138;4;2;2;0;0
CWE-287,CWE-290;2;1;1;0;0
CWE-620,CWE-640;3;2;1;0;0
CWE-264,CWE-602;1;0;0;1;0
CWE-798,CWE-321,CWE-547;1;1;0;0;0
CWE-190,CWE-787;7;3;4;0;0
